namespace,table_name
"gmx-io",result_gmx_v_2_erc_20_from_api
aave,flashloans
aave_ethereum,AaveGovernanceV2_evt_ProposalCanceled
aave_ethereum,AaveGovernanceV2_evt_ProposalCreated
aave_ethereum,AaveGovernanceV2_evt_ProposalExecuted
aave_ethereum,AaveGovernanceV2_evt_ProposalQueued
aave_ethereum,AaveGovernanceV2_evt_VoteEmitted
aave_ethereum,LendingPool_evt_Borrow
aave_ethereum,LendingPool_evt_Deposit
aave_ethereum,LendingPool_evt_FlashLoan
aave_ethereum,LendingPool_evt_LiquidationCall
aave_ethereum,LendingPool_evt_RedeemUnderlying
aave_ethereum,LendingPool_evt_Repay
aave_ethereum,LendingPool_evt_Withdraw
aave_ethereum,StataTokenFactory_evt_StataTokenCreated
aave_ethereum,StataTokenV2_evt_Initialized
aave_ethereum,StaticATokenFactory_evt_StaticTokenCreated
aave_ethereum,StaticATokenLM_evt_Initialized
aave_ethereum,borrow
aave_ethereum,proposals
aave_ethereum,supply
aave_ethereum,votes
aave_horizon_ethereum,PoolInstance_evt_Borrow
aave_horizon_ethereum,PoolInstance_evt_LiquidationCall
aave_horizon_ethereum,PoolInstance_evt_Repay
aave_horizon_ethereum,PoolInstance_evt_Supply
aave_horizon_ethereum,PoolInstance_evt_Withdraw
aave_horizon_ethereum,WrappedTokenGatewayV3_call_withdrawETH
aave_v2_avalanche_c,LendingPool_evt_Borrow
aave_v2_avalanche_c,LendingPool_evt_Deposit
aave_v2_avalanche_c,LendingPool_evt_FlashLoan
aave_v2_avalanche_c,LendingPool_evt_LiquidationCall
aave_v2_avalanche_c,LendingPool_evt_RedeemUnderlying
aave_v2_avalanche_c,LendingPool_evt_Repay
aave_v2_avalanche_c,LendingPool_evt_Withdraw
aave_v2_avalanche_c,WrappedTokenGatewayV2_call_withdrawETH
aave_v2_ethereum,DefaultReserveInterestRateStrategy_call_calculateInterestRates
aave_v2_ethereum,LendingPool_evt_Borrow
aave_v2_ethereum,LendingPool_evt_Deposit
aave_v2_ethereum,LendingPool_evt_FlashLoan
aave_v2_ethereum,LendingPool_evt_LiquidationCall
aave_v2_ethereum,LendingPool_evt_Repay
aave_v2_ethereum,LendingPool_evt_ReserveDataUpdated
aave_v2_ethereum,LendingPool_evt_Withdraw
aave_v2_ethereum,WrappedTokenGatewayV2_call_withdrawETH
aave_v2_polygon,LendingPool_evt_Borrow
aave_v2_polygon,LendingPool_evt_Deposit
aave_v2_polygon,LendingPool_evt_FlashLoan
aave_v2_polygon,LendingPool_evt_LiquidationCall
aave_v2_polygon,LendingPool_evt_RedeemUnderlying
aave_v2_polygon,LendingPool_evt_Repay
aave_v2_polygon,LendingPool_evt_Withdraw
aave_v2_polygon,WrappedTokenGatewayV2_call_withdrawETH
aave_v3_arbitrum,L2Pool_evt_Borrow
aave_v3_arbitrum,L2Pool_evt_FlashLoan
aave_v3_arbitrum,L2Pool_evt_LiquidationCall
aave_v3_arbitrum,L2Pool_evt_Repay
aave_v3_arbitrum,L2Pool_evt_ReserveDataUpdated
aave_v3_arbitrum,L2Pool_evt_Supply
aave_v3_arbitrum,L2Pool_evt_Withdraw
aave_v3_arbitrum,StataTokenFactory_call_createDeterministic
aave_v3_arbitrum,StataToken_evt_Initialized
aave_v3_arbitrum,WETHGateway_call_withdrawETH
aave_v3_arbitrum,WrappedTokenGatewayV3_call_withdrawETH
aave_v3_arbitrum,poolconfigurator_evt_reserveinitialized
aave_v3_avalanche_c,Pool_evt_Borrow
aave_v3_avalanche_c,Pool_evt_FlashLoan
aave_v3_avalanche_c,Pool_evt_LiquidationCall
aave_v3_avalanche_c,Pool_evt_RedeemUnderlying
aave_v3_avalanche_c,Pool_evt_Repay
aave_v3_avalanche_c,Pool_evt_ReserveDataUpdated
aave_v3_avalanche_c,Pool_evt_Supply
aave_v3_avalanche_c,Pool_evt_Withdraw
aave_v3_avalanche_c,StataTokenFactory_call_createstatatokens
aave_v3_avalanche_c,StataTokenV2_evt_Initialized
aave_v3_avalanche_c,WrappedTokenGatewayV3_call_withdrawETH
aave_v3_avalanche_c,poolconfigurator_evt_reserveinitialized
aave_v3_base,L2Pool_evt_Borrow
aave_v3_base,L2Pool_evt_FlashLoan
aave_v3_base,L2Pool_evt_LiquidationCall
aave_v3_base,L2Pool_evt_RedeemUnderlying
aave_v3_base,L2Pool_evt_Repay
aave_v3_base,L2Pool_evt_ReserveDataUpdated
aave_v3_base,L2Pool_evt_Supply
aave_v3_base,L2Pool_evt_Withdraw
aave_v3_base,StataTokenFactory_call_createDeterministic
aave_v3_base,StataToken_evt_Initialized
aave_v3_base,WrappedTokenGatewayV3_call_withdrawETH
aave_v3_base,poolconfigurator_evt_reserveinitialized
aave_v3_bnb,Pool_evt_Borrow
aave_v3_bnb,Pool_evt_FlashLoan
aave_v3_bnb,Pool_evt_LiquidationCall
aave_v3_bnb,Pool_evt_Repay
aave_v3_bnb,Pool_evt_ReserveDataUpdated
aave_v3_bnb,Pool_evt_Supply
aave_v3_bnb,Pool_evt_Withdraw
aave_v3_bnb,WrappedTokenGatewayV3_call_withdrawETH
aave_v3_bnb,poolconfigurator_evt_reserveinitialized
aave_v3_celo,Pool_evt_Borrow
aave_v3_celo,Pool_evt_FlashLoan
aave_v3_celo,Pool_evt_LiquidationCall
aave_v3_celo,Pool_evt_Repay
aave_v3_celo,Pool_evt_ReserveDataUpdated
aave_v3_celo,Pool_evt_Supply
aave_v3_celo,Pool_evt_Withdraw
aave_v3_ethereum,LidoPool_evt_Borrow
aave_v3_ethereum,LidoPool_evt_FlashLoan
aave_v3_ethereum,LidoPool_evt_LiquidationCall
aave_v3_ethereum,LidoPool_evt_Repay
aave_v3_ethereum,LidoPool_evt_Supply
aave_v3_ethereum,LidoPool_evt_Withdraw
aave_v3_ethereum,LidoWrappedTokenGatewayV3_call_withdrawETH
aave_v3_ethereum,Pool_evt_Borrow
aave_v3_ethereum,Pool_evt_FlashLoan
aave_v3_ethereum,Pool_evt_LiquidationCall
aave_v3_ethereum,Pool_evt_Repay
aave_v3_ethereum,Pool_evt_ReserveDataUpdated
aave_v3_ethereum,Pool_evt_Supply
aave_v3_ethereum,Pool_evt_Withdraw
aave_v3_ethereum,WrappedTokenGatewayV3_call_withdrawETH
aave_v3_etherfi_ethereum,PoolInstance_evt_Borrow
aave_v3_etherfi_ethereum,PoolInstance_evt_FlashLoan
aave_v3_etherfi_ethereum,PoolInstance_evt_LiquidationCall
aave_v3_etherfi_ethereum,PoolInstance_evt_Repay
aave_v3_etherfi_ethereum,PoolInstance_evt_Supply
aave_v3_etherfi_ethereum,PoolInstance_evt_Withdraw
aave_v3_etherfi_ethereum,WrappedTokenGatewayV3_call_withdrawETH
aave_v3_fantom,Pool_evt_Borrow
aave_v3_fantom,Pool_evt_FlashLoan
aave_v3_fantom,Pool_evt_LiquidationCall
aave_v3_fantom,Pool_evt_RedeemUnderlying
aave_v3_fantom,Pool_evt_Repay
aave_v3_fantom,Pool_evt_ReserveDataUpdated
aave_v3_fantom,Pool_evt_Supply
aave_v3_fantom,Pool_evt_Withdraw
aave_v3_fantom,WrappedTokenGatewayV3_call_withdrawETH
aave_v3_gnosis,Pool_evt_Borrow
aave_v3_gnosis,Pool_evt_FlashLoan
aave_v3_gnosis,Pool_evt_LiquidationCall
aave_v3_gnosis,Pool_evt_Repay
aave_v3_gnosis,Pool_evt_ReserveDataUpdated
aave_v3_gnosis,Pool_evt_Supply
aave_v3_gnosis,Pool_evt_Withdraw
aave_v3_gnosis,StataTokenV2Factory_call_createDeterministic
aave_v3_gnosis,StataTokenV2_evt_Initialized
aave_v3_gnosis,WrappedTokenGatewayV3_call_withdrawETH
aave_v3_gnosis,poolconfigurator_evt_reserveinitialized
aave_v3_ink,poolconfigurator_evt_reserveinitialized
aave_v3_lido_ethereum,poolconfigurator_evt_reserveinitialized
aave_v3_linea,L2Pool_evt_Borrow
aave_v3_linea,L2Pool_evt_FlashLoan
aave_v3_linea,L2Pool_evt_LiquidationCall
aave_v3_linea,L2Pool_evt_RedeemUnderlying
aave_v3_linea,L2Pool_evt_Repay
aave_v3_linea,L2Pool_evt_ReserveDataUpdated
aave_v3_linea,L2Pool_evt_Supply
aave_v3_linea,L2Pool_evt_Withdraw
aave_v3_linea,WrappedTokenGatewayV3_call_withdrawETH
aave_v3_linea,poolconfigurator_evt_reserveinitialized
aave_v3_optimism,Pool_evt_Borrow
aave_v3_optimism,Pool_evt_FlashLoan
aave_v3_optimism,Pool_evt_LiquidationCall
aave_v3_optimism,Pool_evt_RedeemUnderlying
aave_v3_optimism,Pool_evt_Repay
aave_v3_optimism,Pool_evt_ReserveDataUpdated
aave_v3_optimism,Pool_evt_Supply
aave_v3_optimism,Pool_evt_Withdraw
aave_v3_optimism,RewardsController_evt_RewardsClaimed
aave_v3_optimism,WETHGateway_call_withdrawETH
aave_v3_optimism,WrappedTokenGatewayV3_call_withdrawETH
aave_v3_plasma,WrappedTokenGatewayV3_call_withdrawETH
aave_v3_plasma,poolinstance_evt_Borrow
aave_v3_plasma,poolinstance_evt_FlashLoan
aave_v3_plasma,poolinstance_evt_LiquidationCall
aave_v3_plasma,poolinstance_evt_Repay
aave_v3_plasma,poolinstance_evt_Supply
aave_v3_plasma,poolinstance_evt_Withdraw
aave_v3_polygon,Pool_evt_Borrow
aave_v3_polygon,Pool_evt_FlashLoan
aave_v3_polygon,Pool_evt_LiquidationCall
aave_v3_polygon,Pool_evt_RedeemUnderlying
aave_v3_polygon,Pool_evt_Repay
aave_v3_polygon,Pool_evt_ReserveDataUpdated
aave_v3_polygon,Pool_evt_Supply
aave_v3_polygon,Pool_evt_Withdraw
aave_v3_polygon,WETHGateway_call_withdrawETH
aave_v3_polygon,WrappedTokenGatewayV3_call_withdrawETH
aave_v3_polygon,poolconfigurator_evt_reserveinitialized
aave_v3_scroll,L2Pool_evt_Borrow
aave_v3_scroll,L2Pool_evt_FlashLoan
aave_v3_scroll,L2Pool_evt_LiquidationCall
aave_v3_scroll,L2Pool_evt_Repay
aave_v3_scroll,L2Pool_evt_ReserveDataUpdated
aave_v3_scroll,L2Pool_evt_Supply
aave_v3_scroll,L2Pool_evt_Withdraw
aave_v3_scroll,WrappedTokenGatewayV3_call_withdrawETH
aave_v3_sonic,Pool_evt_Borrow
aave_v3_sonic,Pool_evt_FlashLoan
aave_v3_sonic,Pool_evt_LiquidationCall
aave_v3_sonic,Pool_evt_Repay
aave_v3_sonic,Pool_evt_ReserveDataUpdated
aave_v3_sonic,Pool_evt_Supply
aave_v3_sonic,Pool_evt_Withdraw
aave_v3_sonic,WrappedTokenGatewayV3_call_withdrawETH
aave_v3_zksync,Pool_evt_Borrow
aave_v3_zksync,Pool_evt_FlashLoan
aave_v3_zksync,Pool_evt_LiquidationCall
aave_v3_zksync,Pool_evt_Repay
aave_v3_zksync,Pool_evt_ReserveDataUpdated
aave_v3_zksync,Pool_evt_Supply
aave_v3_zksync,Pool_evt_Withdraw
aave_v3_zksync,WrappedTokenGatewayV3_call_withdrawETH
aavegotchi_polygon,aavegotchi_diamond_evt_ERC1155ExecutedListing
aavegotchi_polygon,aavegotchi_diamond_evt_ERC721ExecutedListing
aavegotchi_polygon,aavegotchi_diamond_evt_Transfer
aavegotchi_polygon,aavegotchi_diamond_evt_TransferBatch
aavegotchi_polygon,aavegotchi_diamond_evt_TransferSingle
abi,signatures
aborean_abstract,pool_evt_swap
aborean_abstract,poolfactory_evt_poolcreated
abstract,blocks
abstract,contracts
abstract,creation_traces # Added from original file
abstract,logs
abstract,logs_decoded
abstract,traces
abstract,traces_decoded
abstract,transactions
abstractswap_abstract,uniswapv3pool_evt_swap
account_abstraction_erc4337,account_deployed
across_hyperevm,universal_spokepool_evt_filledrelay
across_hyperevm,universal_spokepool_evt_fundsdeposited
across_optimism,OVM_OETH_BridgeDepositBox_evt_FundsDeposited
across_plasma,universal_spokepool_evt_filledrelay
across_plasma,universal_spokepool_evt_fundsdeposited
across_v2_arbitrum,arbitrum_spokepool_evt_filledrelay
across_v2_arbitrum,arbitrum_spokepool_evt_fundsdeposited
across_v2_arbitrum,uba_arbitrum_spokepool_evt_filledrelay
across_v2_arbitrum,uba_arbitrum_spokepool_evt_filledv3relay
across_v2_arbitrum,uba_arbitrum_spokepool_evt_fundsdeposited
across_v2_arbitrum,uba_arbitrum_spokepool_evt_v3fundsdeposited
across_v2_base,base_spokepool_evt_filledrelay
across_v2_base,base_spokepool_evt_filledv3relay
across_v2_base,base_spokepool_evt_fundsdeposited
across_v2_base,base_spokepool_evt_v3fundsdeposited
across_v2_boba,boba_spokepool_evt_filledrelay
across_v2_boba,boba_spokepool_evt_fundsdeposited
across_v2_ethereum,ethereum_spokepool_evt_filledrelay
across_v2_ethereum,ethereum_spokepool_evt_fundsdeposited
across_v2_ethereum,uba_ethereum_spokepool_evt_filledrelay
across_v2_ethereum,uba_ethereum_spokepool_evt_filledv3relay
across_v2_ethereum,uba_ethereum_spokepool_evt_fundsdeposited
across_v2_ethereum,uba_ethereum_spokepool_evt_v3fundsdeposited
across_v2_linea,linea_spokepool_evt_filledrelay
across_v2_linea,linea_spokepool_evt_filledv3relay
across_v2_linea,linea_spokepool_evt_fundsdeposited
across_v2_linea,linea_spokepool_evt_v3fundsdeposited
across_v2_optimism,Optimism_SpokePool_evt_FundsDeposited
across_v2_optimism,Optimism_SpokePool_evt_OptimismTokensBridged
across_v2_optimism,Optimism_SpokePool_evt_TokensBridged
across_v2_optimism,UBA_Optimism_SpokePool_evt_FundsDeposited
across_v2_optimism,UBA_Optimism_SpokePool_evt_OptimismTokensBridged
across_v2_optimism,UBA_Optimism_SpokePool_evt_TokensBridged
across_v2_optimism,optimism_spokepool_evt_filledrelay
across_v2_optimism,optimism_spokepool_evt_fundsdeposited
across_v2_optimism,uba_optimism_spokepool_evt_filledrelay
across_v2_optimism,uba_optimism_spokepool_evt_filledv3relay
across_v2_optimism,uba_optimism_spokepool_evt_fundsdeposited
across_v2_optimism,uba_optimism_spokepool_evt_v3fundsdeposited
across_v2_polygon,polygon_spokepool_evt_filledrelay
across_v2_polygon,polygon_spokepool_evt_fundsdeposited
across_v2_polygon,uba_polygon_spokepool_evt_filledrelay
across_v2_polygon,uba_polygon_spokepool_evt_filledv3relay
across_v2_polygon,uba_polygon_spokepool_evt_fundsdeposited
across_v2_polygon,uba_polygon_spokepool_evt_v3fundsdeposited
across_v2_zksync,zksync_spokepool_evt_filledrelay
across_v2_zksync,zksync_spokepool_evt_filledv3relay
across_v2_zksync,zksync_spokepool_evt_fundsdeposited
across_v2_zksync,zksync_spokepool_evt_v3fundsdeposited
across_v3_blast,blast_spokepool_evt_filledrelay
across_v3_blast,blast_spokepool_evt_filledv3relay
across_v3_blast,blast_spokepool_evt_fundsdeposited
across_v3_blast,blast_spokepool_evt_v3fundsdeposited
across_v3_bnb,universal_spokepool_evt_filledrelay
across_v3_bnb,universal_spokepool_evt_fundsdeposited
across_v3_ink,ink_spokepool_evt_filledrelay
across_v3_ink,ink_spokepool_evt_filledv3relay
across_v3_ink,ink_spokepool_evt_fundsdeposited
across_v3_ink,ink_spokepool_evt_v3fundsdeposited
across_v3_lens,lens_spokepool_evt_filledrelay
across_v3_lens,lens_spokepool_evt_fundsdeposited
across_v3_scroll,scroll_spokepool_evt_filledrelay
across_v3_scroll,scroll_spokepool_evt_filledv3relay
across_v3_scroll,scroll_spokepool_evt_fundsdeposited
across_v3_scroll,scroll_spokepool_evt_v3fundsdeposited
across_v3_unichain,unichain_spokepool_evt_filledrelay
across_v3_unichain,unichain_spokepool_evt_filledv3relay
across_v3_unichain,unichain_spokepool_evt_fundsdeposited
across_v3_unichain,unichain_spokepool_evt_v3fundsdeposited
across_v3_worldchain,worldchain_spokepool_evt_filledrelay
across_v3_worldchain,worldchain_spokepool_evt_filledv3relay
across_v3_worldchain,worldchain_spokepool_evt_fundsdeposited
across_v3_worldchain,worldchain_spokepool_evt_v3fundsdeposited
across_v3_zora,zora_spokepool_evt_filledrelay
across_v3_zora,zora_spokepool_evt_filledv3relay
across_v3_zora,zora_spokepool_evt_fundsdeposited
