namespace,table_name,g1,g2,g3
gmx-io,result_gmx_v_2_erc_20_from_api,derivatives,perpetual_protocols,position_settled
aave,flashloans,lending,flash_loan_systems,flash_loan_executed
aave_ethereum,AaveGovernanceV2_evt_ProposalCanceled,governance,proposal_systems,proposal_canceled
aave_ethereum,AaveGovernanceV2_evt_ProposalCreated,governance,proposal_systems,proposal_created
aave_ethereum,AaveGovernanceV2_evt_ProposalExecuted,governance,proposal_systems,proposal_executed
aave_ethereum,AaveGovernanceV2_evt_ProposalQueued,governance,proposal_systems,proposal_queued
aave_ethereum,AaveGovernanceV2_evt_VoteEmitted,governance,voting_systems,vote_cast
aave_ethereum,LendingPool_evt_Borrow,lending,money_markets,debt_origination
aave_ethereum,LendingPool_evt_Deposit,lending,money_markets,supply_deposited
aave_ethereum,LendingPool_evt_FlashLoan,lending,flash_loan_systems,flash_loan_executed
aave_ethereum,LendingPool_evt_LiquidationCall,lending,liquidation_systems,collateral_seized
aave_ethereum,LendingPool_evt_RedeemUnderlying,lending,money_markets,redeem_executed
aave_ethereum,LendingPool_evt_Repay,lending,money_markets,debt_repaid
aave_ethereum,LendingPool_evt_Withdraw,lending,money_markets,supply_withdrawn
aave_ethereum,StataTokenFactory_evt_StataTokenCreated,lending,yield_token_factories,yield_token_deployed
aave_ethereum,StataTokenV2_evt_Initialized,lending,yield_token_systems,token_initialized
aave_ethereum,StaticATokenFactory_evt_StaticTokenCreated,lending,static_token_factories,static_token_deployed
aave_ethereum,StaticATokenLM_evt_Initialized,lending,static_token_systems,token_initialized
aave_ethereum,borrow,lending,money_markets,debt_origination
aave_ethereum,proposals,governance,proposal_systems,proposal_created
aave_ethereum,supply,lending,money_markets,supply_deposited
aave_ethereum,votes,governance,voting_systems,vote_cast
aave_horizon_ethereum,PoolInstance_evt_Borrow,lending,money_markets,debt_origination
aave_horizon_ethereum,PoolInstance_evt_LiquidationCall,lending,liquidation_systems,collateral_seized
aave_horizon_ethereum,PoolInstance_evt_Repay,lending,money_markets,debt_repaid
aave_horizon_ethereum,PoolInstance_evt_Supply,lending,money_markets,supply_deposited
aave_horizon_ethereum,PoolInstance_evt_Withdraw,lending,money_markets,supply_withdrawn
aave_horizon_ethereum,WrappedTokenGatewayV3_call_withdrawETH,lending,money_markets,eth_withdrawn
aave_v2_avalanche_c,LendingPool_evt_Borrow,lending,money_markets,debt_origination
aave_v2_avalanche_c,LendingPool_evt_Deposit,lending,money_markets,supply_deposited
aave_v2_avalanche_c,LendingPool_evt_FlashLoan,lending,flash_loan_systems,flash_loan_executed
aave_v2_avalanche_c,LendingPool_evt_LiquidationCall,lending,liquidation_systems,collateral_seized
aave_v2_avalanche_c,LendingPool_evt_RedeemUnderlying,lending,money_markets,redeem_executed
aave_v2_avalanche_c,LendingPool_evt_Repay,lending,money_markets,debt_repaid
aave_v2_avalanche_c,LendingPool_evt_Withdraw,lending,money_markets,supply_withdrawn
aave_v2_avalanche_c,WrappedTokenGatewayV2_call_withdrawETH,lending,money_markets,eth_withdrawn
aave_v2_ethereum,DefaultReserveInterestRateStrategy_call_calculateInterestRates,lending,interest_rate_strategies,rates_calculated
aave_v2_ethereum,LendingPool_evt_Borrow,lending,money_markets,debt_origination
aave_v2_ethereum,LendingPool_evt_Deposit,lending,money_markets,supply_deposited
aave_v2_ethereum,LendingPool_evt_FlashLoan,lending,flash_loan_systems,flash_loan_executed
aave_v2_ethereum,LendingPool_evt_LiquidationCall,lending,liquidation_systems,collateral_seized
aave_v2_ethereum,LendingPool_evt_Repay,lending,money_markets,debt_repaid
aave_v2_ethereum,LendingPool_evt_ReserveDataUpdated,lending,money_markets,reserve_data_updated
aave_v2_ethereum,LendingPool_evt_Withdraw,lending,money_markets,supply_withdrawn
aave_v2_ethereum,WrappedTokenGatewayV2_call_withdrawETH,lending,money_markets,eth_withdrawn
aave_v2_polygon,LendingPool_evt_Borrow,lending,money_markets,debt_origination
aave_v2_polygon,LendingPool_evt_Deposit,lending,money_markets,supply_deposited
aave_v2_polygon,LendingPool_evt_FlashLoan,lending,flash_loan_systems,flash_loan_executed
aave_v2_polygon,LendingPool_evt_LiquidationCall,lending,liquidation_systems,collateral_seized
aave_v2_polygon,LendingPool_evt_RedeemUnderlying,lending,money_markets,redeem_executed
aave_v2_polygon,LendingPool_evt_Repay,lending,money_markets,debt_repaid
aave_v2_polygon,LendingPool_evt_Withdraw,lending,money_markets,supply_withdrawn
aave_v2_polygon,WrappedTokenGatewayV2_call_withdrawETH,lending,money_markets,eth_withdrawn
aave_v3_arbitrum,L2Pool_evt_Borrow,lending,money_markets,debt_origination
aave_v3_arbitrum,L2Pool_evt_FlashLoan,lending,money_markets,flash_loan_executed
aave_v3_arbitrum,L2Pool_evt_LiquidationCall,lending,money_markets,collateral_seized
aave_v3_arbitrum,L2Pool_evt_Repay,lending,money_markets,debt_repaid
aave_v3_arbitrum,L2Pool_evt_ReserveDataUpdated,lending,money_markets,reserve_data_updated
aave_v3_arbitrum,L2Pool_evt_Supply,lending,money_markets,supply_deposited
aave_v3_arbitrum,L2Pool_evt_Withdraw,lending,money_markets,supply_withdrawn
aave_v3_arbitrum,StataTokenFactory_call_createDeterministic,lending,yield_token_factories,yield_token_deployed
aave_v3_arbitrum,StataToken_evt_Initialized,lending,yield_token_systems,token_initialized
aave_v3_arbitrum,WETHGateway_call_withdrawETH,lending,money_markets,eth_withdrawn
aave_v3_arbitrum,WrappedTokenGatewayV3_call_withdrawETH,lending,money_markets,eth_withdrawn
aave_v3_arbitrum,poolconfigurator_evt_reserveinitialized,lending,money_markets,reserve_data_updated
